,exchangetoken,tradingsymbol,symbolname,description,expiry,strikeprice,ticksize,lotsize,optiontype,series,assettype,exchange,isin,qtyunits,prcunits,prcqtn,multiplier,asmgsmflag,asmgsmmsg
91555,1136448_BFO,SENSEX24O3184000CE,SENSEX,SENSEX24O3184000CE,31/OCT/24,84000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
91556,1149323_BFO,SENSEX24N2284800CE,SENSEX,SENSEX24N2284800CE,22/NOV/24,84800.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
91557,1145096_BFO,SENSEX28DEC91000PE,SENSEX,SENSEX28DEC91000PE,29/DEC/28,91000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
91561,1162120_BFO,SENSEX24NOV76300CE,SENSEX,SENSEX24NOV76300CE,29/NOV/24,76300.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
91562,1149235_BFO,SENSEX24N2282100CE,SENSEX,SENSEX24N2282100CE,22/NOV/24,82100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
91566,1149893_BFO,SENSEX24O3178300PE,SENSEX,SENSEX24O3178300PE,31/OCT/24,78300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
91567,1128205_BFO,SENSEX24NOV77500PE,SENSEX,SENSEX24NOV77500PE,29/NOV/24,77500.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
91570,872073_BFO,SENSEX25MAR76000PE,SENSEX,SENSEX25MAR76000PE,28/MAR/25,76000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
91571,1127003_BFO,SENSEX24NOV86000PE,SENSEX,SENSEX24NOV86000PE,29/NOV/24,86000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
91573,1148256_BFO,SENSEX24N0878500PE,SENSEX,SENSEX24N0878500PE,08/NOV/24,78500.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
91574,1163369_BFO,SENSEX24D0676100CE,SENSEX,SENSEX24D0676100CE,06/DEC/24,76100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
