token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
1,INF209K01BT5,Growth,Aditya Birla SL Equity Hybrid `95 Fund (G),Regular,BAG,1467.51,-7.18,-0.49,100.00,ANNUAL,4th November 2024
2,INF209K01BS7,Dividend - Payout,Aditya Birla SL Equity Hybrid `95 Fund (IDCW),Regular,BA-DP,182.04,-0.89,-0.49,100.00,INTERIM,4th November 2024
2,INF209K01BS7,Dividend - Reinvest,Aditya Birla SL Equity Hybrid `95 Fund (IDCW),Regular,BSA-DR,182.04,-0.89,-0.49,100.00,INTERIM,4th November 2024
2,INF209K01EE1,Dividend - Reinvest,Aditya Birla SL Equity Hybrid `95 Fund (IDCW),Regular,BA-DR,182.04,-0.89,-0.49,100.00,INTERIM,4th November 2024
7,INF209K01090,Dividend - Payout,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,02-DP,204.06,-1.07,-0.52,500.00,,4th November 2024
7,INF209K01CB1,Dividend - Reinvest,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,BSL02D-DR,204.06,-1.07,-0.52,500.00,,4th November 2024
8,INF209K01LQ0,Growth,Aditya Birla SL Low Duration Fund (G),Regular,BSL43N-GR,626.1532,0.38,0.06,100.00,,4th November 2024
9,INF209K01AJ8,Growth,Aditya Birla SL Flexi Cap Fund (G),Regular,51,1718.03,-10.43,-0.60,100.00,,4th November 2024
10,INF209K01AQ3,Dividend - Payout,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,52-DP,169.09,-1.03,-0.61,100.00,HALF YEARLY,4th November 2024
10,INF209K01AQ3,Dividend - Reinvest,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,BS52-DR,169.09,-1.03,-0.61,100.00,HALF YEARLY,4th November 2024
10,INF209K01DT1,Dividend - Reinvest,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,BSL52D-DR,169.09,-1.03,-0.61,100.00,HALF YEARLY,4th November 2024
15,INF209K01785,Growth,Aditya Birla SL Corporate Bond Fund (G),Regular,B32,106.934,0.07,0.07,100.00,,4th November 2024
19,INF209K01140,Growth,Aditya Birla SL Digital India Fund (G),Regular,B16,177.68,-2.91,-1.61,1000.00,,31st October 2024
20,INF209K01132,Dividend - Payout,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DP,46.99,-0.77,-1.61,1000.00,ANNUAL,31st October 2024
20,INF209K01132,Dividend - Reinvest,Aditya Birla SL Digital India Fund (IDCW),Regular,BS15-DR,46.99,-0.77,-1.61,1000.00,ANNUAL,31st October 2024
20,INF209K01CD7,Dividend - Reinvest,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DR,46.99,-0.77,-1.61,1000.00,ANNUAL,31st October 2024
